filename,prompt,Scorer result
Test_Adventure_trip_ESFP_prompt1_1.json,,ENFP
Test_Adventure_trip_ESFP_prompt1_2.json,,ENFP
Test_Adventure_trip_ESFP_prompt2_1.json,,ENFP
Test_Adventure_trip_ESFP_prompt2_2.json,,ENFP
Test_Adventure_trip_ESFP_prompt3_1.json,,ENFP
Test_Adventure_trip_ESFP_prompt3_2.json,,ENFP
Test_Adventure_trip_ESFP_prompt4_1.json,,ENFP
Test_Adventure_trip_ESFP_prompt4_2.json,,ENFP
Test_Adventure_trip_INTJ_prompt1_1.json,,ISTJ
Test_Adventure_trip_INTJ_prompt1_2.json,,INFP
Test_Adventure_trip_INTJ_prompt2_1.json,,INTJ
Test_Adventure_trip_INTJ_prompt2_2.json,,INTJ
Test_Adventure_trip_INTJ_prompt3_1.json,,INFJ
Test_Adventure_trip_INTJ_prompt3_2.json,,ENFJ
Test_Adventure_trip_INTJ_prompt4_1.json,,INTJ
Test_Adventure_trip_INTJ_prompt4_2.json,,INTJ
Test_Career_advice_ESFP_prompt1_1.json,,ENFP
Test_Career_advice_ESFP_prompt1_2.json,,ENFP
Test_Career_advice_ESFP_prompt2_1.json,,ENFP
Test_Career_advice_ESFP_prompt2_2.json,,ENFP
Test_Career_advice_ESFP_prompt3_1.json,,ENFP
Test_Career_advice_ESFP_prompt3_2.json,,ENFP
Test_Career_advice_ESFP_prompt4_1.json,,ENFP
Test_Career_advice_ESFP_prompt4_2.json,,ENFP
Test_Career_advice_INTJ_prompt1_1.json,,INFP
Test_Career_advice_INTJ_prompt1_2.json,,INTP
Test_Career_advice_INTJ_prompt2_1.json,,INTJ
Test_Career_advice_INTJ_prompt2_2.json,,INTJ
Test_Career_advice_INTJ_prompt3_1.json,,INFJ
Test_Career_advice_INTJ_prompt3_2.json,,NFJ
Test_Career_advice_INTJ_prompt4_1.json,,INTJ
Test_Career_advice_INTJ_prompt4_2.json,,INTJ
Test_FeelingSad_ESFP_prompt1_1.json,,ENFP
Test_FeelingSad_ESFP_prompt1_2.json,,ENFP
Test_FeelingSad_ESFP_prompt2_1.json,,ENFP
Test_FeelingSad_ESFP_prompt2_2.json,,ENFP
Test_FeelingSad_ESFP_prompt3_1.json,,ENFP
Test_FeelingSad_ESFP_prompt3_2.json,,ENFP
Test_FeelingSad_ESFP_prompt4_1.json,,ENFP
Test_FeelingSad_ESFP_prompt4_2.json,,ENFP
Test_FeelingSad_INTJ_prompt1_1.json,,ENFJ
Test_FeelingSad_INTJ_prompt1_2.json,,INFJ
Test_FeelingSad_INTJ_prompt2_1.json,,INTJ
Test_FeelingSad_INTJ_prompt2_2.json,,INTJ
Test_FeelingSad_INTJ_prompt3_1.json,,INFJ
Test_FeelingSad_INTJ_prompt3_2.json,,INFJ
Test_FeelingSad_INTJ_prompt4_1.json,,INTJ
Test_FeelingSad_INTJ_prompt4_2.json,,INTJ
Test_Romantic_ESFP_prompt1_1.json,,ENFP
Test_Romantic_ESFP_prompt1_2.json,,ENFP
Test_Romantic_ESFP_prompt2_1.json,,ENFP
Test_Romantic_ESFP_prompt2_2.json,,ENFP
Test_Romantic_ESFP_prompt3_1.json,,ENFP
Test_Romantic_ESFP_prompt3_2.json,,ENFP
Test_Romantic_ESFP_prompt4_1.json,,ENFP
Test_Romantic_ESFP_prompt4_2.json,,ENFP
Test_Romantic_INTJ_prompt1_1.json,,INFJ
Test_Romantic_INTJ_prompt1_2.json,,ENFP
Test_Romantic_INTJ_prompt2_1.json,,INTJ
Test_Romantic_INTJ_prompt2_2.json,,INTJ
Test_Romantic_INTJ_prompt3_1.json,,INFJ
Test_Romantic_INTJ_prompt3_2.json,,INFP
Test_Romantic_INTJ_prompt4_1.json,,INTJ
Test_Romantic_INTJ_prompt4_2.json,,INTJ
